WORD,MEAN ATTRIBUTION SCORE,ATTRIBUTION SCORES,#OCCURANCES
it’s,inf,"[0.5025660488754511, 0.5439183562994003, 0.31627893075346947, 0.06341314502060413, inf]",5
"lyrics<0x0a><0x0a>""shirt",0.3310738783329725,[0.3310738783329725],1
ghastly,0.27591531351208687,[0.27591531351208687],1
carter,0.2592928037047386,[0.2592928037047386],1
secret-diary-of-an-fa,0.24790555331856012,[0.24790555331856012],1
sumn'<0x0a><0x0a>ho,0.2405271679162979,[0.2405271679162979],1
e-40”,0.23340594954788685,[0.23340594954788685],1
2011,0.23010888881981373,[0.23010888881981373],1
it,0.22248932532966137,[0.22248932532966137],1
quotable,0.22054781764745712,[0.22054781764745712],1
2,0.2197416815906763,"[0.2297046259045601, 0.20977873727679253]",2
#martinshkreli,0.1960849855095148,[0.1960849855095148],1
versace<0x0a><0x0a>bitch,0.189705278724432,[0.189705278724432],1
you’ve,0.1887737512588501,"[0.0832790955901146, 0.2942684069275856]",2
compton/i'm,0.1872913744300604,[0.1872913744300604],1
pigs,0.18120406940579414,[0.18120406940579414],1
steverson-horse-and-phone,0.17979032918810844,[0.17979032918810844],1
you’re,0.17913778157283863,"[0.4074448272585869, 0.14343899115920067, 0.1760117281228304, 0.08815226703882217, 0.09808795899152756, 0.16169091686606407]",6
driver,0.16566895507276058,[0.16566895507276058],1
i’d,0.16561152475575605,"[0.09856414049863815, 0.2026458941400051, 0.19562453962862492]",3
chaplinsky,0.15686431899666786,[0.15686431899666786],1
nigga/i'll,0.15269834641367197,[0.15269834641367197],1
**<0x0a><0x0a>damn,0.148430448025465,[0.148430448025465],1
basically,0.13945245742797852,[0.13945245742797852],1
jesus,0.13750211149454117,[0.13750211149454117],1
salsa,0.13712512515485287,[0.13712512515485287],1
however,0.1343003213405609,[0.1343003213405609],1
motherfuckers,0.1287831924855709,[0.1287831924855709],1
me<0x0a><0x0a>bitch,0.12489984184503555,[0.12489984184503555],1
hackneywhacko,0.12408510223031044,[0.12408510223031044],1
there’s,0.12303667329251766,[0.12303667329251766],1
i’m,0.12240866737233268,"[0.07073189504444599, 0.15146015956997871, 0.1939452923834324, 0.05941803753376007, 0.18592822924256325, 0.08647170662879944, 0.1085662804543972, 0.12147730961441994, 0.12367909587919712]",9
president-elect,0.12138712964951992,[0.12138712964951992],1
leaker,0.12122313492000103,[0.12122313492000103],1
profanities,0.12045759335160255,[0.12045759335160255],1
shit-eating,0.11988173611462116,[0.11988173611462116],1
pretentiousfuckwads,0.11985812056809664,[0.11985812056809664],1
legislation,0.11912593618035316,[0.11912593618035316],1
acronym,0.11809096485376358,[0.11809096485376358],1
foaming-mouth,0.11710591614246368,[0.11710591614246368],1
momma,0.1162512805312872,[0.1162512805312872],1
albuquerque,0.11564238928258419,[0.11564238928258419],1
amazingly,0.11423778161406517,[0.11423778161406517],1
anti-trump,0.11315502319484949,[0.11315502319484949],1
assed,0.11239336244761944,[0.11239336244761944],1
breaker,0.11201198771595955,[0.11201198771595955],1
noels,0.11036336049437523,[0.11036336049437523],1
"21,000",0.1100173369050026,[0.1100173369050026],1
yes,0.10966491606086493,"[0.07093472592532635, 0.1483951061964035]",2
don’t,0.1091539915651083,"[0.07708042487502098, 0.11437752842903137, 0.12051329389214516, 0.11948182806372643, 0.11928300559520721, 0.031005454249680042, 0.19522924162447453, 0.09626115579158068]",8
oh,0.10910736862570047,"[0.07931986264884472, 0.13889487460255623]",2
disgusting,0.10879206657409668,[0.10879206657409668],1
partynextdoor,0.10839193593710661,[0.10839193593710661],1
f**king,0.10765510029159486,"[0.19325276464223862, 0.02205743594095111]",2
boy,0.1053913589566946,[0.1053913589566946],1
scissors,0.10496620088815689,[0.10496620088815689],1
dirty-talk,0.103414760902524,[0.103414760902524],1
what’s,0.10125404223799706,[0.10125404223799706],1
ex-muslims,0.09890489187091589,[0.09890489187091589],1
someone’s,0.0977124385535717,[0.0977124385535717],1
fluke,0.09625584073364735,[0.09625584073364735],1
olbermann,0.09597230143845081,[0.09597230143845081],1
later,0.09558853879570961,[0.09558853879570961],1
you're,0.09490231548746426,"[0.09554722718894482, 0.02998373843729496, 0.15917598083615303]",3
u/spez,0.09441443718969822,[0.09441443718969822],1
it,0.0943168975556126,"[0.023903703317046165, 0.016556542366743088, 0.014151936396956444, 0.03907378762960434, 0.009057063609361649, 0.03527152817696333, 0.023433566093444824, 0.5605074763298035, 0.026324789971113205, 0.049416450783610344, 0.010144596919417381, 0.40101322531700134, 0.01726500131189823]",13
donald,0.09408175200223923,[0.09408175200223923],1
guy’s,0.09396441606804729,"[0.14520235173404217, 0.0427264804020524]",2
"idiot!,”",0.09376754239201546,[0.09376754239201546],1
3.13,0.09282071981579065,[0.09282071981579065],1
constitution,0.09274948760867119,[0.09274948760867119],1
lash,0.08812136203050613,[0.08812136203050613],1
500,0.08807564899325371,[0.08807564899325371],1
good.from,0.08782720100134611,[0.08782720100134611],1
flatten,0.08747249841690063,[0.08747249841690063],1
yeah,0.08738105806211631,"[0.09029434621334076, 0.07866241224110126, 0.09318641573190689]",3
couldn’t,0.08693904429674149,[0.08693904429674149],1
gsomers,0.08647112734615803,[0.08647112734615803],1
won’t,0.0841626925393939,"[0.1385805681347847, 0.029744816944003105]",2
sponsors,0.08405763655900955,[0.08405763655900955],1
"bag,”",0.0839257650077343,[0.0839257650077343],1
abolition,0.08390235900878906,[0.08390235900878906],1
soon-to-be-former,0.08296093065291643,[0.08296093065291643],1
retort,0.08257769793272018,[0.08257769793272018],1
yourselves,0.0820196382701397,[0.0820196382701397],1
"faggot,”",0.08187980856746435,[0.08187980856746435],1
doesn’t,0.08166425954550505,"[0.07036308385431767, 0.09296543523669243]",2
moment,0.08083264715969563,[0.08083264715969563],1
50s,0.08055469021201134,[0.08055469021201134],1
rednecked,0.08015155978500843,[0.08015155978500843],1
then,0.07965285292205711,"[0.018672291189432144, 0.012775145005434752, 0.009548068046569824, 0.013360908254981041, 0.3879646956920624, 0.035596009343862534]",6
can’t,0.07912272959947586,[0.07912272959947586],1
he’s,0.07856285199522972,"[0.06350232660770416, 0.09362337738275528]",2
rawdownloadcloneembedreportprint,0.07766367122530937,[0.07766367122530937],1
milf,0.07763354480266571,[0.07763354480266571],1
